"year","month","discount","returned","sales_month"
"2016","1","0.00",NULL,"63.86"
"2016","1","0.00","Yes","19.36"
"2016","1","0.20",NULL,"11.78"
"2016","1","0.00",NULL,"278.52"
"2016","1","0.10",NULL,"247.72"
"2016","1","0.00",NULL,"11.42"
"2016","1","0.20",NULL,"31.20"
"2016","1","0.00",NULL,"1366.77"
"2016","1","0.20",NULL,"25.25"
"2016","1","0.00",NULL,"14.73"
"2016","1","0.20",NULL,"272.74"
"2016","1","0.00",NULL,"623.96"
"2016","1","0.20",NULL,"108.72"
"2016","1","0.00",NULL,"43.92"
"2016","1","0.70",NULL,"32.34"
"2016","1","0.00",NULL,"29.70"
"2016","1","0.60",NULL,"76.73"
"2016","1","0.00","Yes","19.30"
"2016","1","0.00",NULL,"2029.93"
"2016","1","0.20",NULL,"30.07"
"2016","1","0.00",NULL,"66.58"
"2016","1","0.70",NULL,"67.19"
"2016","1","0.00",NULL,"6.54"
"2016","1","0.80",NULL,"10.43"
"2016","1","0.70",NULL,"18.59"
"2016","1","0.00",NULL,"114.77"
"2016","1","0.20",NULL,"16.45"
"2016","1","0.00",NULL,"585.36"
"2016","1","0.20",NULL,"37.41"
"2016","1","0.00",NULL,"269.28"
"2016","1","0.40",NULL,"124.20"
"2016","1","0.70",NULL,"3.44"
"2016","1","0.20",NULL,"290.67"
"2016","1","0.00",NULL,"2028.67"
"2016","1","0.20",NULL,"581.03"
"2016","1","0.00",NULL,"2641.06"
"2016","1","0.50",NULL,"61.96"
"2016","1","0.80",NULL,"3.54"
"2016","1","0.00",NULL,"755.96"
"2016","1","0.20",NULL,"23.46"
"2016","1","0.70",NULL,"181.47"
"2016","1","0.00",NULL,"64.31"
"2016","1","0.20",NULL,"334.00"
"2016","1","0.20",NULL,"9.34"
"2016","1","0.00",NULL,"603.17"
"2017","1","0.00",NULL,"690.03"
"2017","1","0.20",NULL,"10.37"
"2017","1","0.40",NULL,"235.19"
"2017","1","0.00",NULL,"51.55"
"2017","1","0.40",NULL,"4297.64"
"2017","1","0.20",NULL,"13.17"
"2017","1","0.40",NULL,"431.98"
"2017","1","0.20",NULL,"2803.92"
"2017","1","0.50","Yes","452.45"
"2017","1","0.70","Yes","1188.00"
"2017","1","0.20",NULL,"24.67"
"2017","1","0.30",NULL,"102.44"
"2017","1","0.40",NULL,"181.75"
"2017","1","0.40","Yes","62.98"
"2017","1","0.00",NULL,"116.16"
"2017","1","0.60",NULL,"254.74"
"2017","1","0.20","Yes","89.58"
"2017","1","0.00",NULL,"60.02"
"2017","1","0.20",NULL,"80.39"
"2017","1","0.00",NULL,"95.62"
"2017","1","0.20","Yes","88.96"
"2017","1","0.00",NULL,"85.52"
"2017","1","0.70","Yes","1.94"
"2017","1","0.20",NULL,"1976.14"
"2017","1","0.20","Yes","23.68"
"2017","1","0.20",NULL,"7.06"
"2017","1","0.00",NULL,"104.84"
"2017","1","0.40",NULL,"1018.10"
"2017","1","0.00",NULL,"225.64"
"2017","1","0.20","Yes","61.58"
"2017","1","0.00","Yes","29.04"
"2017","1","0.20",NULL,"398.40"
"2017","1","0.30",NULL,"1352.40"
"2017","1","0.00",NULL,"77.60"
"2017","1","0.30",NULL,"381.29"
"2017","1","0.40",NULL,"107.12"
"2017","1","0.00",NULL,"707.42"
"2017","1","0.20","Yes","29.60"
"2017","1","0.20",NULL,"13.12"
"2017","1","0.00",NULL,"227.36"
"2017","1","0.00","Yes","14.62"
"2018","1","0.00",NULL,"81.98"
"2018","1","0.20",NULL,"89.34"
"2018","1","0.00",NULL,"125.36"
"2018","1","0.40",NULL,"110.38"
"2018","1","0.00",NULL,"396.57"
"2018","1","0.20",NULL,"451.14"
"2018","1","0.00",NULL,"1279.03"
"2018","1","0.20",NULL,"70.16"
"2018","1","0.00",NULL,"11.88"
"2018","1","0.20",NULL,"47.79"
"2018","1","0.20","Yes","315.78"
"2018","1","0.20",NULL,"156.51"
"2018","1","0.00",NULL,"52.34"
"2018","1","0.00","Yes","69.98"
"2018","1","0.00",NULL,"1592.85"
"2018","1","0.80",NULL,"1.73"
"2018","1","0.00",NULL,"104.52"
"2018","1","0.20",NULL,"555.21"
"2018","1","0.00",NULL,"23.36"
"2018","1","0.20",NULL,"959.97"
"2018","1","0.00",NULL,"16.52"
"2018","1","0.20",NULL,"20.80"
"2018","1","0.00",NULL,"2008.61"
"2018","1","0.40","Yes","15.59"
"2018","1","0.00","Yes","371.97"
"2018","1","0.20","Yes","15.55"
"2018","1","0.00",NULL,"39.68"
"2018","1","0.50",NULL,"626.10"
"2018","1","0.00",NULL,"26.01"
"2018","1","0.60",NULL,"23.08"
"2018","1","0.70",NULL,"104.58"
"2018","1","0.00",NULL,"1565.88"
"2018","1","0.20",NULL,"180.96"
"2018","1","0.00",NULL,"59.99"
"2018","1","0.00","Yes","79.92"
"2018","1","0.00",NULL,"254.97"
"2018","1","0.20","Yes","63.31"
"2018","1","0.20",NULL,"25.92"
"2018","1","0.00",NULL,"69.66"
"2018","1","0.00","Yes","29.99"
"2018","1","0.20",NULL,"242.24"
"2018","1","0.00",NULL,"48.58"
"2018","1","0.20",NULL,"153.57"
"2018","1","0.00",NULL,"897.93"
"2018","1","0.30",NULL,"181.80"
"2018","1","0.00",NULL,"99.98"
"2018","1","0.20",NULL,"1682.22"
"2018","1","0.70",NULL,"30.83"
"2018","1","0.20",NULL,"1500.20"
"2018","1","0.00",NULL,"230.33"
"2018","1","0.20",NULL,"109.59"
"2018","1","0.40",NULL,"313.72"
"2018","1","0.20",NULL,"14.27"
"2018","1","0.00",NULL,"7.56"
"2018","1","0.20",NULL,"49.54"
"2018","1","0.00",NULL,"428.68"
"2018","1","0.20","Yes","89.57"
"2018","1","0.00",NULL,"18.00"
"2018","1","0.20",NULL,"26.34"
"2018","1","0.00","Yes","322.59"
"2019","1","0.00",NULL,"44.84"
"2019","1","0.20",NULL,"19.89"
"2019","1","0.00",NULL,"5.22"
"2019","1","0.20","Yes","120.78"
"2019","1","0.20",NULL,"31.68"
"2019","1","0.00","Yes","8.82"
"2019","1","0.00",NULL,"379.39"
"2019","1","0.20",NULL,"372.14"
"2019","1","0.00",NULL,"3300.65"
"2019","1","0.00","Yes","37.74"
"2019","1","0.20",NULL,"2024.91"
"2019","1","0.00","Yes","12.74"
"2019","1","0.10",NULL,"207.85"
"2019","1","0.00",NULL,"197.34"
"2019","1","0.30",NULL,"310.74"
"2019","1","0.20",NULL,"699.23"
"2019","1","0.50",NULL,"695.70"
"2019","1","0.80",NULL,"12.13"
"2019","1","0.20",NULL,"2209.62"
"2019","1","0.00",NULL,"116.72"
"2019","1","0.20","Yes","18.34"
"2019","1","0.00",NULL,"320.95"
"2019","1","0.20",NULL,"97.30"
"2019","1","0.00",NULL,"11.34"
"2019","1","0.70",NULL,"274.49"
"2019","1","0.60",NULL,"141.42"
"2019","1","0.70",NULL,"2.81"
"2019","1","0.00",NULL,"1428.69"
"2019","1","0.20",NULL,"107.62"
"2019","1","0.00",NULL,"892.98"
"2019","1","0.20",NULL,"276.78"
"2019","1","0.00",NULL,"6303.84"
"2019","1","0.20",NULL,"399.67"
"2019","1","0.00",NULL,"67.80"
"2019","1","0.40",NULL,"429.60"
"2019","1","0.00",NULL,"542.94"
"2019","1","0.70",NULL,"4.94"
"2019","1","0.00",NULL,"100.45"
"2019","1","0.20",NULL,"6.00"
"2019","1","0.70",NULL,"35.78"
"2019","1","0.00",NULL,"137.94"
"2019","1","0.20",NULL,"62.59"
"2019","1","0.00",NULL,"9.78"
"2019","1","0.20",NULL,"110.35"
"2019","1","0.70","Yes","2.51"
"2019","1","0.30",NULL,"887.27"
"2019","1","0.00",NULL,"94.85"
"2019","1","0.70",NULL,"15.66"
"2019","1","0.00",NULL,"33.74"
"2019","1","0.20",NULL,"151.58"
"2019","1","0.00",NULL,"23.52"
"2019","1","0.20",NULL,"44.48"
"2019","1","0.00",NULL,"235.18"
"2019","1","0.20",NULL,"47.98"
"2019","1","0.00",NULL,"466.05"
"2019","1","0.20","Yes","36.29"
"2019","1","0.30",NULL,"913.43"
"2019","1","0.20",NULL,"101.54"
"2019","1","0.00",NULL,"15.64"
"2019","1","0.00","Yes","239.97"
"2019","1","0.00",NULL,"154.90"
"2019","1","0.20",NULL,"86.35"
"2019","1","0.00",NULL,"129.30"
"2019","1","0.40",NULL,"107.98"
"2019","1","0.00",NULL,"51.78"
"2019","1","0.80",NULL,"39.25"
"2019","1","0.50",NULL,"69.38"
"2019","1","0.00",NULL,"11.96"
"2019","1","0.80",NULL,"15.22"
"2019","1","0.20",NULL,"379.66"
"2019","1","0.10",NULL,"350.97"
"2019","1","0.00",NULL,"50.68"
"2019","1","0.80",NULL,"780.16"
"2019","1","0.00",NULL,"7.89"
"2019","1","0.20",NULL,"604.77"
"2019","1","0.00",NULL,"449.91"
"2019","1","0.20",NULL,"27.94"
"2019","1","0.00",NULL,"12.70"
"2019","1","0.20",NULL,"18.16"
"2019","1","0.00",NULL,"474.43"
"2019","1","0.20",NULL,"1924.16"
"2019","1","0.00",NULL,"195.36"
"2019","1","0.20","Yes","111.98"
"2019","1","0.00",NULL,"332.64"
"2019","1","0.20",NULL,"454.56"
"2019","1","0.00",NULL,"4164.05"
"2019","1","0.20",NULL,"160.78"
"2019","1","0.00",NULL,"226.42"
"2019","1","0.70",NULL,"28.85"
"2019","1","0.10",NULL,"3059.98"
"2019","1","0.20",NULL,"169.06"
"2019","1","0.80",NULL,"4.28"
"2019","1","0.70","Yes","5.97"
"2019","1","0.20",NULL,"105.33"
"2019","1","0.00",NULL,"2954.12"
"2019","1","0.20",NULL,"348.21"
"2016","2","0.00",NULL,"34.24"
"2016","2","0.20",NULL,"129.57"
"2016","2","0.00",NULL,"352.38"
"2016","2","0.20",NULL,"16.18"
"2016","2","0.00",NULL,"848.30"
"2016","2","0.20",NULL,"66.83"
"2016","2","0.00",NULL,"9.64"
"2016","2","0.20","Yes","6.94"
"2016","2","0.80",NULL,"8.85"
"2016","2","0.20",NULL,"19.46"
"2016","2","0.00",NULL,"12.35"
"2016","2","0.70",NULL,"18.34"
"2016","2","0.80",NULL,"1.08"
"2016","2","0.20",NULL,"32.90"
"2016","2","0.00",NULL,"302.28"
"2016","2","0.20",NULL,"13.27"
"2016","2","0.00",NULL,"151.74"
"2016","2","0.20",NULL,"104.26"
"2016","2","0.80","Yes","4.43"
