"row_id","order_date","ship_date","ship_mode","sales","quantity","discount","profit","returned"
"4","2017-10-11","2017-10-18","Standard Class","957.58","5","0.40","-383.03",NULL
"5","2017-10-11","2017-10-18","Standard Class","22.37","2","0.20","2.52",NULL
"8","2016-06-09","2016-06-14","Standard Class","907.15","6","0.20","90.72",NULL
"9","2016-06-09","2016-06-14","Standard Class","18.50","3","0.20","5.78",NULL
"11","2016-06-09","2016-06-14","Standard Class","1706.18","9","0.20","85.31",NULL
"12","2016-06-09","2016-06-14","Standard Class","911.42","4","0.20","68.36",NULL
"13","2019-04-15","2019-04-20","Standard Class","15.55","3","0.20","5.44",NULL
"14","2018-12-05","2018-12-10","Standard Class","407.98","3","0.20","132.59",NULL
"15","2017-11-22","2017-11-26","Standard Class","68.81","5","0.80","-123.86",NULL
"16","2017-11-22","2017-11-26","Standard Class","2.54","3","0.80","-3.82",NULL
"20","2016-08-27","2016-09-01","Second Class","213.48","3","0.20","16.01","1"
"21","2016-08-27","2016-09-01","Second Class","22.72","4","0.20","7.38","1"
"24","2019-07-16","2019-07-18","Second Class","71.37","2","0.30","-1.02",NULL
"26","2018-01-16","2018-01-20","Second Class","11.65","2","0.20","4.22",NULL
"28","2017-09-17","2017-09-21","Standard Class","3083.43","7","0.50","-1665.05",NULL
"29","2017-09-17","2017-09-21","Standard Class","9.62","2","0.70","-7.05",NULL
"30","2017-09-17","2017-09-21","Standard Class","124.20","3","0.20","15.53",NULL
"31","2017-09-17","2017-09-21","Standard Class","3.26","2","0.20","1.10",NULL
"32","2017-09-17","2017-09-21","Standard Class","86.30","6","0.20","9.71",NULL
"33","2017-09-17","2017-09-21","Standard Class","6.86","6","0.70","-5.72",NULL
"34","2017-09-17","2017-09-21","Standard Class","15.76","2","0.20","3.55",NULL
"35","2019-10-19","2019-10-23","Second Class","29.47","3","0.20","9.95",NULL
"36","2018-12-08","2018-12-10","First Class","1097.54","7","0.20","123.47",NULL
"37","2018-12-08","2018-12-10","First Class","190.92","5","0.60","-147.96",NULL
"38","2017-12-27","2017-12-31","Standard Class","113.33","9","0.20","35.42",NULL
"39","2017-12-27","2017-12-31","Standard Class","532.40","3","0.30","-46.98",NULL
"40","2017-12-27","2017-12-31","Standard Class","212.06","3","0.30","-15.15",NULL
"41","2017-12-27","2017-12-31","Standard Class","371.17","4","0.20","41.76",NULL
"42","2019-09-10","2019-09-15","Standard Class","147.17","4","0.20","16.56",NULL
"44","2019-09-19","2019-09-23","Standard Class","95.62","2","0.20","9.56",NULL
"58","2018-06-17","2018-06-18","First Class","319.41","5","0.10","7.10","1"
"61","2018-06-17","2018-06-18","First Class","48.48","4","0.20","16.36","1"
"64","2017-11-24","2017-11-30","Standard Class","25.82","6","0.20","9.36",NULL
"67","2017-04-30","2017-05-05","Standard Class","213.12","5","0.30","-15.22",NULL
"68","2016-12-05","2016-12-10","Standard Class","1113.02","8","0.20","111.30",NULL
"69","2016-12-05","2016-12-10","Standard Class","167.97","4","0.20","62.99",NULL
